# Note: Faults 1-17 were used in the paper Challenges in Using Search-Based Test Generation to Identify Real Faults in Mockito. Faults 18-38 added later.
ID,Faulty Commit,Fixed Commit,Issue URL,Problem,Relevant Tests (pass on fixed version)
11,57be784ef15d4d4d685e59d7e855e01de81a77a5,1802cf79c482f2df29abb3d6735bcf0b16cedb7d,https://github.com/mockito/mockito/pull/87,if you create a DelegatingMethod and compare it to itself using .equals() it will show as not equal because the .equals() method expects a java.lang.reflect.Method (without explicitly stating such). This has a knock on effect on the evaluation of InvocationImpl.equals() which at runtime may be using a DelegatingMethod in its .equals().,"org.mockito.internal.creation.DelegatingMethodTest::equals_should_return_true_when_equal, org.mockito.internal.creation.DelegatingMethodTest::equals_should_return_true_when_self"
12,a154b66c1a87eb4ff26d91781414dde042bb9a9f,7a647a702c8af81ccf5d37b09c11529c6c0cb1b7,https://code.google.com/archive/p/mockito/issues/188,@Captor annotation might lead to null pointer exception  during autounboxing when capturing primitives ,"org.mockito.internal.util.reflection.GenericMasterTest::shouldDealWithNestedGenerics, org.mockitousage.annotation.CaptorAnnotationBasicTest::shouldUseAnnotatedCaptor, org.mockitousage.annotation.CaptorAnnotationBasicTest::shouldUseCaptorInOrdinaryWay, org.mockitousage.annotation.CaptorAnnotationBasicTest::shouldUseGenericlessAnnotatedCaptor, org.mockitousage.annotation.CaptorAnnotationBasicTest::shouldCaptureGenericList, org.mockitousage.annotation.CaptorAnnotationTest::shouldScreamWhenWrongTypeForCaptor, org.mockitousage.annotation.CaptorAnnotationTest::shouldScreamWhenMoreThanOneMockitoAnnotaton, org.mockitousage.annotation.CaptorAnnotationTest::shouldScreamWhenInitializingCaptorsForNullClass, org.mockitousage.annotation.CaptorAnnotationTest::shouldLookForAnnotatedCaptorsInSuperClasses"
13,88100667b90c4621178fd870fa1ca43060512fc6,2037361bea014c9ac87393eb96a95374dff46182,https://code.google.com/archive/p/mockito/issues/138,make verify() possible if there is inlined different method call on other mock,org.mockitousage.bugs.VerifyingWithAnExtraCallToADifferentMockTest::shouldAllowVerifyingWhenOtherMockCallIsInTheSameLine
14,c478a8809b640713e8ffb6da2f554dda3a3674b0,9b2cf8072ece7c7629eff6037853b3e14ab5f524,https://code.google.com/archive/p/mockito/issues/138,make verify() possible if there is inlined different method call on other mock,org.mockitousage.bugs.VerifyingWithAnExtraCallToADifferentMockTest::shouldAllowVerifyingWhenOtherMockCallIsInTheSameLine
15,77c6703f60d87b88b0e5b175b8fb0462483a8f69,81a380951402d2a158af115ed616ab36e94793b8,https://code.google.com/archive/p/mockito/issues/211,@InjectMocks should carry out their work by the method (and not by field) if available,org.mockitousage.bugs.InjectMocksShouldTryPropertySettersFirstBeforeFieldAccessTest::shouldInjectUsingPropertySetterIfAvailable
16,188cbae7ae307e7c81c4ad321a4837dd93157b67,620f8faed0ad132961aae3a8671120e0929ce828,https://code.google.com/archive/p/mockito/issues/151,Stubbing mocks that are configured to return mocks yields exception,org.mockitousage.bugs.StubbingMocksThatAreConfiguredToReturnMocksTest::shouldAllowStubbingMocksConfiguredWithRETURNS_MOCKS
17,b6790ee34d8d858a89b80a9ae40f19d87ce1dab8,77cb2037314dd024eb53ffe2e9e06304088a2d53,https://code.google.com/archive/p/mockito/issues/152,User should be able to set serializable and yet configure his own extra interfaces,org.mockitousage.basicapi.MocksSerializationTest::shouldBeSerializeAndHaveExtraInterfaces
18,6237bd6e841dcae7b0e4d8cc3d0b7e14bf6694cc,8ceb04ad7317d8db24476b3b5f56ec9f658bc43a,https://github.com/mockito/mockito/issues/210,"An Iterable to be mocked by default with an empty Iterable, instead of null","org.concurrentmockito.ThreadsRunAllTestsHalfManualTest::shouldRunInMultipleThreads, org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValuesTest::should_return_empty_iterable"
19,03028f0095d527ff9bd84bc929fc4931f17abf13,110ffa80070bf54ab8efabdaaa27b193a93d6128,https://github.com/mockito/mockito/issues/205,InjectMocks injects mock into wrong field,org.mockitousage.annotation.MockInjectionUsingSetterOrPropertyTest::shouldInsertFieldWithCorrectNameWhenMultipleTypesAvailable
20,98610b68e93e75a5b1db2687894bb30ff2b09c90,7616cd17d5e1dc7c3dee080c6969183821d4797a,https://github.com/mockito/mockito/issues/92,Allow convenient spying on abstract classes (byte buddy support),"org.mockitousage.annotation.SpyAnnotationTest::should_spy_inner_class, org.mockitousage.annotation.SpyAnnotationTest::should_report_when_constructor_is_explosive, org.mockitousage.constructor.CreatingMocksWithConstructorTest::can_spy_abstract_classes, org.mockitousage.constructor.CreatingMocksWithConstructorTest::exception_message_when_constructor_not_found, org.mockitousage.constructor.CreatingMocksWithConstructorTest::can_create_mock_with_constructor, org.mockitousage.constructor.CreatingMocksWithConstructorTest::can_mock_inner_classes, org.mockitousage.constructor.CreatingMocksWithConstructorTest::mocking_inner_classes_with_wrong_outer_instance, org.mockitousage.constructor.CreatingMocksWithConstructorTest::can_mock_abstract_classes"
21,c03a47fb2d3d4df94ba608c26a0a7570798b3611,8912aa176ea8414c2fc57df0d9b030b918630e9f,https://github.com/mockito/mockito/issues/92,Allow convenient spying on abstract classes (Fixed problem with type testing of outer classes),org.mockito.internal.creation.instance.ConstructorInstantiatorTest::creates_instances_of_inner_classes
22,920ec4c3efe3133aa5009fcc9757a3cd07c5ac02,d0c872e4b0837aef1e1635bf5f15d33c3d8d9698,https://code.google.com/archive/p/mockito/issues/484,areEqual does not try == operator for trivial equality case and sometimes has unneccessary exceptions,org.mockito.internal.matchers.EqualityTest::shouldKnowIfObjectsAreEqual
23,c17169c2cbb0b3d055d64ec2c4859122ca919c42,82935114a09390cbab0c6b6df9b6fd6788bf55d9,https://code.google.com/archive/p/mockito/issues/399,Deep Stubs are not serializable,org.mockitousage.stubbing.DeepStubsSerializableTest::should_serialize_and_deserialize_mock_created_by_deep_stubs
24,585b06d890b5e78857a5c5d5a2301065c2cac08b,c17169c2cbb0b3d055d64ec2c4859122ca919c42,https://code.google.com/archive/p/mockito/issues/467,compareTo returns 1 for the same object,"org.concurrentmockito.ThreadsRunAllTestsHalfManualTest::shouldRunInMultipleThreads, org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValuesTest::should_return_zero_if_mock_is_compared_to_itself, org.mockitousage.bugs.ShouldMocksCompareToBeConsistentWithEqualsTest::should_compare_to_be_consistent_with_equals_when_comparing_the_same_reference"
25,d8b18f2e77c3f352677a6993225c4333b98d0481,a6ccf070a267e0a165b8efaaefa8938e787bb6a0,https://code.google.com/archive/p/mockito/issues/230,Deep mock fails for generic classes,"org.concurrentmockito.ThreadsRunAllTestsHalfManualTest::shouldRunInMultipleThreads,  org.mockito.internal.stubbing.defaultanswers.ReturnsGenericDeepStubsTest::will_return_default_value_on_non_mockable_nested_generic, org.mockito.internal.stubbing.defaultanswers.ReturnsGenericDeepStubsTest::can_create_mock_from_multiple_type_variable_bounds_when_return_type_of_parameterized_method_is_a_typevar_that_is_referencing_a_typevar_on_class, org.mockito.internal.stubbing.defaultanswers.ReturnsGenericDeepStubsTest::can_create_mock_from_return_types_declared_with_a_bounded_wildcard, org.mockito.internal.stubbing.defaultanswers.ReturnsGenericDeepStubsTest::can_create_mock_from_multiple_type_variable_bounds_when_return_type_of_parameterized_method_is_a_parameterizedtype_that_is_referencing_a_typevar_on_class, org.mockito.internal.stubbing.defaultanswers.ReturnsGenericDeepStubsTest::generic_deep_mock_frenzy__look_at_these_chained_calls, org.mockito.internal.stubbing.defaultanswers.ReturnsGenericDeepStubsTest::can_create_mock_from_multiple_type_variable_bounds_when_method_return_type_is_referencing_a_typevar_on_class"
26,41441c6b00e64c9f1f1275ff01a0ac4f7c4ae13e,af44738c7de74f24e37ea0c1242e73b07c3f4362,https://code.google.com/archive/p/mockito/issues/352,"Mockito-mocked methods returning primitive types other than ""int"" throw ClassCastException: java.lang.Integer","org.concurrentmockito.ThreadsRunAllTestsHalfManualTest::shouldRunInMultipleThreads, org.mockito.internal.progress.HandyReturnValuesTest::should_default_values_for_primitive, org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValuesTest::should_return_primitive, org.mockito.internal.stubbing.defaultanswers.ReturnsMocksTest::should_return_the_usual_default_values_for_primitives, org.mockito.internal.stubbing.defaultanswers.ReturnsSmartNullsTest::should_return_the_usual_default_values_for_primitives"
27,19ade1ff81503b05a34ba8fff4ee9c9b63860587,a8ec4fa290bc1cdde060218d6bb811ac1fa6da6f,https://code.google.com/archive/p/mockito/issues/282,MockUtil.resetMock() doesn't create InvocationNotifierHandler when recreating a filter,org.mockitousage.bugs.ListenersLostOnResetMockTest::listener
28,7639f331b8c002647dd02f914bbd3f3203832cb9,0464f5657dc8c76a4ff209a2cf7fd6312885cdc3,https://code.google.com/archive/p/mockito/issues/236,@InjectMocks injects mock into Object-typed fields,org.mockitousage.bugs.InjectionByTypeShouldFirstLookForExactTypeThenAncestorTest::mock_should_be_injected_once_and_in_the_best_matching_type
29,df41fbe00b1300cfe5076bb4e9242214fbe677f9,918f0a5aed6454b307004b6c9c86afc8e96353ff,https://code.google.com/archive/p/mockito/issues/229,@Mock fields in super test class are not injected on @InjectMocks fields,org.mockitousage.bugs.NPEWithCertainMatchersTest::shouldNotThrowNPEWhenNullPassedToSame
30,62b6bdf44baeee172b2b1684835fb995bad2a47d,3c924f80a4db3692a13341f0da4517052ab77a2a,https://code.google.com/archive/p/mockito/issues/225,SmartNulls should identify the arguments that the stubbed method was invoked with (NullPointerException message),org.mockito.internal.stubbing.defaultanswers.ReturnsSmartNullsTest::shouldPrintTheParametersOnSmartNullPointerExceptionMessage
31,81a380951402d2a158af115ed616ab36e94793b8,62b6bdf44baeee172b2b1684835fb995bad2a47d,https://code.google.com/archive/p/mockito/issues/225,SmartNulls should identify the arguments that the stubbed method was invoked with (printing args on smart nulls toString),org.mockito.internal.stubbing.defaultanswers.ReturnsSmartNullsTest::shouldPrintTheParametersWhenCallingAMethodWithArgs
32,d973b6f4fd6aad3b17a1758c920a3b962269b2ba,4f7060cc54bb50292ccfbf3b9fca27f0282abf51,https://code.google.com/archive/p/mockito/issues/216,the field name not used to identify @Spy objects,org.mockitousage.bugs.SpyShouldHaveNiceNameTest::shouldPrintNiceName
33,57bafd2c3ad7db992667b7f9d56dfe9aca0d82f4,5cb37751c0aba81d025dc5fe4f2f9a3bf86cc958,https://code.google.com/archive/p/mockito/issues/200,Edge case around generics + inheritance. Code did not work correctly due to polimorphic call not dispatched to correct method.,"org.mockitousage.bugs.InheritedGenericsPolimorphicCallTest::shouldStubbingWork, org.mockitousage.bugs.InheritedGenericsPolimorphicCallTest::shouldVerificationWorks"
34,0ebc2ea06b5abdb441a57a8e0f01305a7839c3d9,e8cebe01abae49a09aadd6a26c6f7e2f90e5e772,https://code.google.com/archive/p/mockito/issues/157,Invocation.thenReturn() may fail with varargs,"org.concurrentmockito.ThreadsRunAllTestsHalfManualTest::shouldRunInMultipleThreads, org.mockito.internal.invocation.InvocationMatcherTest::shouldMatchCaptureArgumentsWhenArgsCountDoesNOTMatch, org.mockitousage.basicapi.UsingVarargsTest::shouldMatchEasilyEmptyVararg"
35,bff7ae0f4db9c5c0f7bfcdd3a47d4fa0fdaa1232,27a2f515197d4688c4df82afb791bf8ce20a5504,https://code.google.com/archive/p/mockito/issues/98,Verification using isA(int.class) gives NullPointerException,"org.mockitousage.bugs.NPEWithCertainMatchersTest::shouldNotThrowNPEWhenIntPassed, org.mockitousage.bugs.NPEWithCertainMatchersTest::shouldNotThrowNPEWhenIntegerPassed, org.mockitousage.bugs.NPEWithCertainMatchersTest::shouldNotThrowNPEWhenIntegerPassedToEq, org.mockitousage.bugs.NPEWithCertainMatchersTest::shouldNotThrowNPEWhenIntegerPassedToSame"
36,ecbd951497132c68dd2b264d7014251e33acba92,84c142f56fe971ed52ecfe42b42bc0aa7bef8354,https://code.google.com/archive/p/mockito/issues/140,Inform the user immediately when she tries to 'callRealMethod()' on a mock of a interface,"org.concurrentmockito.ThreadsRunAllTestsHalfManualTest::shouldRunInMultipleThreads,  org.mockito.internal.invocation.InvocationTest::shouldScreamWhenCallingRealMethodOnInterface, org.mockitousage.spies.SpyingOnInterfacesTest::shouldFailInRuntimeWhenCallingRealMethodOnInterface"
37,3b603ebf4bd3b416a2a00b7729233ae44ec75943,c0222c2dbfbd2b053961a46e4c2a3973aec55a75,https://code.google.com/archive/p/mockito/issues/140,Inform the user immediately when she tries to 'callRealMethod()' on a mock of a interface,"org.mockito.internal.stubbing.answers.AnswersValidatorTest::shouldFailWhenCallingRealMethodOnIterface, org.mockitousage.spies.SpyingOnInterfacesTest::shouldFailFastWhenCallingRealMethodOnInterface"
38,a663d2fe76bf1ff54bbe59bddcb52f9badec3f2a,c1f2c4e6b5bab4cfc004f22999e11e8ac140d377,https://code.google.com/archive/p/mockito/issues/79,"Mockito's sources in the central Maven repository should be in a *-sources.jar file (note - this code fixes a NPE, not actually related to issue 79 in particular)","org.mockito.internal.verification.argumentmatching.ArgumentMatchingToolTest::shouldWorkFineWhenGivenArgIsNull, org.mockitousage.bugs.ActualInvocationHasNullArgumentNPEBugTest::shouldAllowPassingNullArgument"
