bug.id,revision.id.buggy,revision.id.fixed,report.id,report.url,deprecated.version,deprecated.reason
31,4355c0d224342b5c94881b7aabb441f765867dfe,f8bf45444c49053a92f6f560c5008d5ac43aa27f,COMPRESS-301,https://issues.apache.org/jira/browse/COMPRESS-301,4.0.0,JVM17-Pack200
32,24a3100e9897837b513a0d9f2ae26fd02ec91246,3c4a09bf28e7cd600b919b8c799fbbfd19a94c0b,COMPRESS-314,https://issues.apache.org/jira/browse/COMPRESS-314,4.0.0,JVM17-Pack200
33,9b3e389fc692513cc701b886a9dcdab6ebf32453,b72b5c716ac18150396d05988d9eab745bea02b9,COMPRESS-316,https://issues.apache.org/jira/browse/COMPRESS-316,4.0.0,JVM17-Pack200
34,1dcab3f854e6fffa16c842b8a10a6fa2163795ea,e6e24766377e705e89358fb9cf6253e2e9e645db,COMPRESS-321,https://issues.apache.org/jira/browse/COMPRESS-321,4.0.0,JVM17-Pack200
35,9431b16c58a3fbb320cf13af80cb36430f2aea79,7250daa429020181bb5a4c40d1aaa169631b8496,COMPRESS-335,https://issues.apache.org/jira/browse/COMPRESS-335,4.0.0,JVM17-Pack200
36,ff5158b1662ad5a67ae6041afc89c5fbfd5ddb1a,d0501577d37b594c3ff59a39ac211f7a1b170fa7,COMPRESS-348,https://issues.apache.org/jira/browse/COMPRESS-348,4.0.0,JVM17-Pack200
37,14b3d1ad8c5efc1f21c94e6d0f72635c374b2bb6,19a620c904587dc0397b43bfe9071ff60033c097,COMPRESS-355,https://issues.apache.org/jira/browse/COMPRESS-355,4.0.0,JVM17-Pack200
38,19a620c904587dc0397b43bfe9071ff60033c097,823cdee9b18508e9e51913d110a20a406f55582b,COMPRESS-356,https://issues.apache.org/jira/browse/COMPRESS-356,4.0.0,JVM17-Pack200
39,593339ab62ce5db71fd42501a9ddea9fe698b9ca,11840dfde044fec90b0cb4a715ce9d213acea3ca,COMPRESS-351,https://issues.apache.org/jira/browse/COMPRESS-351,4.0.0,JVM17-Pack200
40,32c30f6f072ccfea6ead90f8eef0c205d88d00d3,52dd5908e374973d69c51856b74d4d93d591c90a,COMPRESS-363,https://issues.apache.org/jira/browse/COMPRESS-363,4.0.0,JVM17-Pack200
41,e0c83d24ed5a59911b0ee59a72104410b91a7c0d,f015344879f1bc3505bc616fc7ae517cf9f60838,COMPRESS-367,https://issues.apache.org/jira/browse/COMPRESS-367,4.0.0,JVM17-Pack200
42,75ba40cd9236761b4b3e49013eb38f754b4e539b,c59fc43c527610ae18d7596eb191817ce674cb29,COMPRESS-379,https://issues.apache.org/jira/browse/COMPRESS-379,4.0.0,JVM17-Pack200
43,12edac73ec454bfbdd634af474e140cca7522774,d75b89856ef29bbec6784cd6aa714eafe0eeb312,COMPRESS-394,https://issues.apache.org/jira/browse/COMPRESS-394,4.0.0,JVM17-Pack200
44,b53ead4b43c6c248b1a39f4a1cce7a0c4062285d,6f379134ae1807cd404ed6c9579707e5dc6a6df0,COMPRESS-412,https://issues.apache.org/jira/browse/COMPRESS-412,4.0.0,JVM17-Pack200
45,137aa57f9291b5f390de740266042587cfede7ce,02735ad7e6313515a846bc15bcc89cf254f8161f,COMPRESS-411,https://issues.apache.org/jira/browse/COMPRESS-411,4.0.0,JVM17-Pack200
46,d0595b7121f57f1f49fe7fdc384479dd73ad64f5,cd1d329dba95dae161317c123269c24282001a66,COMPRESS-416,https://issues.apache.org/jira/browse/COMPRESS-416,4.0.0,JVM17-Pack200
47,a12adc3627ae39baecd132906c05484fee40efe8,c66db899cb061c79934986f0efa19a50ca33703f,COMPRESS-436,https://issues.apache.org/jira/browse/COMPRESS-436,4.0.0,JVM17-Pack200
